sigma_in_sq,k_gain,alpha_gain_noise,s_max,amplitude_s_true,C_proc,kappa,phi1,lambda_cost,w_IT,w_TPE,json_sweep_key,optimal_g_utility,max_utility,it_final_at_opt_g,tpe_at_opt_g,eg_at_opt_g,mi_raw_at_opt_g
0.0025000000000000005,0.01,1.0,1.0,0.5,inf,0.05,1.0,0.01,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 'inf', 0.05, 1.0, 0.01, 1.0, 0.5)",1.0673469387755103,3.023638942389397,3.0258713922478466,0.003397552778123954,0.05336734693877552,3.0258713922478466
0.0025000000000000005,0.01,1.0,1.0,0.5,inf,0.05,1.0,0.05,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 'inf', 0.05, 1.0, 0.05, 1.0, 0.5)",1.0673469387755103,3.0449290930707913,3.049256146319999,0.0033173718045376986,0.05336734693877552,3.049256146319999
0.0025000000000000005,0.01,1.0,1.0,0.5,inf,0.05,1.0,0.1,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 'inf', 0.05, 1.0, 0.1, 1.0, 0.5)",0.5836734693877551,3.0059141793714725,3.0199818972115255,0.022298700986228607,0.029183673469387758,3.0199818972115255
0.0025000000000000005,0.01,1.0,1.0,0.5,inf,0.05,1.25,0.01,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 'inf', 0.05, 1.25, 0.01, 1.0, 0.5)",1.0673469387755103,3.030444796804487,3.032675372510807,0.003376270643021525,0.054244038480856994,3.032675372510807
0.0025000000000000005,0.01,1.0,1.0,0.5,inf,0.05,1.25,0.05,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 'inf', 0.05, 1.25, 0.05, 1.0, 0.5)",1.8734693877551023,3.021033862933662,3.0769132271402304,0.100799543474642,0.10959184938494992,3.0769132271402304
0.0025000000000000005,0.01,1.0,1.0,0.5,inf,0.05,1.25,0.1,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 'inf', 0.05, 1.25, 0.1, 1.0, 0.5)",1.0673469387755103,3.0176360456993807,3.024766680741805,0.0034124623886789434,0.054244038480856994,3.024766680741805
0.0025000000000000005,0.01,1.0,1.0,0.5,inf,0.1,1.0,0.01,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 'inf', 0.1, 1.0, 0.01, 1.0, 0.5)",1.2285714285714289,3.0211715292267707,3.0274141769246032,0.01002815253852289,0.12285714285714289,3.0274141769246032
0.0025000000000000005,0.01,1.0,1.0,0.5,inf,0.1,1.0,0.05,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 'inf', 0.1, 1.0, 0.05, 1.0, 0.5)",1.3897959183673472,3.027852518555187,3.0464758808274675,0.023348765360886495,0.13897959183673472,3.0464758808274675
0.0025000000000000005,0.01,1.0,1.0,0.5,inf,0.1,1.0,0.1,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 'inf', 0.1, 1.0, 0.1, 1.0, 0.5)",0.9061224489795919,3.024593967709798,3.0352184717199986,0.0031265590408073468,0.0906122448979592,3.0352184717199986
0.0025000000000000005,0.01,1.0,1.0,0.5,inf,0.1,1.25,0.01,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 'inf', 0.1, 1.25, 0.01, 1.0, 0.5)",1.3897959183673472,3.0248467007511413,3.038082364410875,0.023453330446052283,0.15089984367075004,3.038082364410875
0.0025000000000000005,0.01,1.0,1.0,0.5,inf,0.1,1.25,0.05,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 'inf', 0.1, 1.25, 0.05, 1.0, 0.5)",1.2285714285714289,3.04494774373883,3.056593103622292,0.010356193889220848,0.12934525877703384,3.056593103622292
0.0025000000000000005,0.01,1.0,1.0,0.5,inf,0.1,1.25,0.1,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 0.5, 'inf', 0.1, 1.25, 0.1, 1.0, 0.5)",0.7448979591836735,3.0315042285403644,3.0431239002351465,0.009398868995203088,0.06920237197180369,3.0431239002351465
0.0025000000000000005,0.01,1.0,1.0,1.0,2.0,0.05,1.0,0.01,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 1.0, 2.0, 0.05, 1.0, 0.01, 1.0, 0.5)",1.0673469387755103,1.9855613981864377,2.0,0.02780985668834923,0.05336734693877552,3.4546890866115576
0.0025000000000000005,0.01,1.0,1.0,1.0,2.0,0.05,1.0,0.05,1.0,0.5,"(0.0025000000000000005, 0.01, 1.0, 1.0, 1.0, 2.0, 0.05, 1.0, 0.05, 1.0, 0.5)",1.0673469387755103,1.9834240266422924,2.0,0.027815212021537094,0.05336734693877552,3.447061509726228
